Entity,Day,reported_ari_cases
Albania,2023-02-20,13800
Albania,2023-02-27,0
Albania,2023-03-06,11329
Albania,2023-03-13,10295
Albania,2023-03-20,0
Albania,2023-03-27,10630
Albania,2023-04-03,0
Albania,2023-04-10,9991
Albania,2023-04-17,0
Albania,2023-04-24,9975
Albania,2023-05-01,0
Albania,2023-05-08,9415
Albania,2023-05-15,9308
Albania,2023-05-22,0
Albania,2023-05-29,0
Albania,2023-06-05,0
Albania,2023-06-12,0
Albania,2023-06-19,7710
Albania,2023-06-26,0
Albania,2023-07-03,7311
Albania,2023-07-10,0
Albania,2023-07-17,0
Albania,2023-07-24,6766
Albania,2023-07-31,6460
Albania,2023-08-07,0
Albania,2023-08-14,0
Albania,2023-08-21,0
Albania,2023-08-28,8379
Albania,2023-09-04,8456
Albania,2023-09-11,9862
Albania,2023-09-18,10606
Albania,2023-09-25,0
Albania,2023-10-02,10244
Albania,2023-10-09,10788
Albania,2023-10-16,9936
Albania,2023-10-23,10052
Albania,2023-10-30,9495
Albania,2023-11-06,9891
Albania,2023-11-13,0
Albania,2023-11-20,0
Albania,2023-11-27,0
Albania,2023-12-04,0
Albania,2023-12-11,0
Albania,2023-12-18,0
Albania,2023-12-25,0
Albania,2024-01-01,0
Albania,2024-01-08,15233
Albania,2024-01-15,0
Albania,2024-01-22,0
Albania,2024-01-29,0
Albania,2024-02-05,0
Albania,2024-02-12,0
Albania,2024-02-19,15367
Albania,2024-02-26,0
Albania,2024-03-04,0
Albania,2024-03-11,12960
Albania,2024-03-18,12788
Albania,2024-03-25,12796
Albania,2024-04-01,0
Albania,2024-04-08,11694
Albania,2024-04-15,0
Albania,2024-04-22,11790
Albania,2024-04-29,0
Albania,2024-05-06,0
Albania,2024-05-13,11158
Albania,2024-05-20,10461
Albania,2024-05-27,10149
Albania,2024-06-03,9901
Albania,2024-06-10,0
Albania,2024-06-17,0
Albania,2024-06-24,0
Albania,2024-07-01,8308
Albania,2024-07-08,0
Albania,2024-07-15,8530
Albania,2024-07-22,8634
Albania,2024-07-29,0
Albania,2024-08-05,0
Albania,2024-08-12,0
Albania,2024-08-19,0
Albania,2024-08-26,0
Albania,2024-09-02,0
Albania,2024-09-09,0
Albania,2024-09-16,0
Albania,2024-09-23,0
Albania,2024-09-30,0
Albania,2024-10-07,0
Albania,2024-10-14,0
Albania,2024-10-21,11333
Albania,2024-10-28,11600
Albania,2024-11-04,0
Albania,2024-11-11,12767
Albania,2024-11-18,0
Albania,2024-11-25,0
Albania,2024-12-02,0
Albania,2024-12-09,11640
Albania,2024-12-16,0
Albania,2024-12-23,0
Albania,2024-12-30,11176
Albania,2025-01-06,18293
Albania,2025-01-13,20499
Albania,2025-01-20,23518
Albania,2025-01-27,0
Albania,2025-02-03,19447
Albania,2025-02-10,0
Albania,2025-02-17,0
Albania,2025-02-24,0
Albania,2025-03-03,0
Albania,2025-03-10,13493
Albania,2025-03-17,0
Albania,2025-03-24,0
Albania,2025-03-31,10847
Argentina,2014-01-13,10403
Argentina,2014-01-20,10026
Argentina,2014-01-27,10637
Argentina,2014-02-03,0
Argentina,2014-02-10,10289
Argentina,2014-02-17,10694
Argentina,2014-02-24,0
Argentina,2014-03-03,0
Argentina,2014-03-10,15219
Argentina,2014-03-17,0
Argentina,2014-03-24,15255
Argentina,2014-03-31,13842
Argentina,2014-04-07,13214
Argentina,2014-04-14,0
Argentina,2014-04-21,0
Argentina,2014-04-28,14287
Argentina,2014-05-05,14503
Argentina,2014-05-12,13455
Argentina,2014-05-19,11050
Argentina,2014-05-26,9010
Argentina,2014-06-02,252
Argentina,2014-06-09,0
Argentina,2014-06-16,0
Argentina,2014-06-23,0
Argentina,2014-06-30,0
Argentina,2014-07-07,0
Argentina,2014-07-14,0
Argentina,2014-07-21,0
Argentina,2014-07-28,0
Argentina,2014-08-04,0
Argentina,2014-08-11,0
Argentina,2014-08-18,0
Argentina,2014-08-25,0
Argentina,2014-09-01,0
Argentina,2014-09-08,0
Argentina,2014-09-15,0
Argentina,2014-09-22,0
Argentina,2014-09-29,0
Argentina,2014-10-06,0
Argentina,2014-10-13,0
Argentina,2014-10-20,0
Argentina,2014-10-27,0
Argentina,2014-11-03,0
Argentina,2014-11-10,0
Argentina,2014-11-17,0
Argentina,2014-11-24,0
Argentina,2014-12-01,0
Argentina,2014-12-08,0
Argentina,2014-12-15,0
Argentina,2014-12-22,0
Argentina,2014-12-29,0
Argentina,2015-01-05,0
Argentina,2015-01-12,0
Argentina,2015-01-19,0
Argentina,2015-01-26,0
Argentina,2015-02-02,0
Argentina,2015-02-09,0
Argentina,2015-02-16,0
Argentina,2015-02-23,0
Argentina,2015-03-02,0
Argentina,2015-03-09,0
Argentina,2015-03-16,0
Argentina,2015-03-23,0
Argentina,2015-03-30,0
Argentina,2015-04-06,0
Argentina,2015-04-13,0
Argentina,2015-04-20,0
Argentina,2015-04-27,0
Argentina,2015-05-04,0
Argentina,2015-05-11,0
Argentina,2015-05-18,0
Argentina,2015-05-25,0
Argentina,2015-06-01,0
Argentina,2015-06-08,0
Argentina,2015-06-15,0
Argentina,2015-06-22,0
Argentina,2015-06-29,0
Argentina,2015-07-06,0
Argentina,2015-07-13,0
Argentina,2015-07-20,0
Argentina,2015-07-27,0
Argentina,2015-08-03,0
Argentina,2015-08-10,0
Argentina,2015-08-17,0
Argentina,2015-08-24,0
Argentina,2015-08-31,0
Argentina,2015-09-07,0
Argentina,2015-09-14,0
Argentina,2015-09-21,0
Argentina,2015-09-28,0
Argentina,2015-10-05,0
Argentina,2015-10-12,0
Argentina,2015-10-19,0
Argentina,2015-10-26,0
Argentina,2015-11-02,0
Argentina,2015-11-09,0
Argentina,2015-11-16,0
Argentina,2015-11-23,0
Argentina,2015-11-30,0
Argentina,2015-12-07,0
Argentina,2015-12-14,0
Argentina,2015-12-21,0
Argentina,2015-12-28,0
Argentina,2016-01-04,14583
Argentina,2016-01-11,0
Argentina,2016-01-18,17748
Argentina,2016-01-25,0
Argentina,2016-02-01,15874
Argentina,2016-02-08,16143
Argentina,2016-02-15,15095
Argentina,2016-02-22,14367
Argentina,2016-02-29,0
Argentina,2016-03-07,16348
Argentina,2016-03-14,18530
Argentina,2016-03-21,0
Argentina,2016-03-28,17885
Argentina,2016-04-04,19272
Argentina,2016-04-11,17348
Argentina,2016-04-18,0
Argentina,2016-04-25,0
Argentina,2016-05-02,21356
Argentina,2016-05-09,22963
Argentina,2016-05-16,0
Argentina,2016-05-23,28270
Argentina,2016-05-30,25136
Argentina,2016-06-06,30298
Argentina,2016-06-13,37158
Argentina,2016-06-20,38580
Argentina,2016-06-27,0
Argentina,2016-07-04,0
Argentina,2016-07-11,0
Argentina,2016-07-18,29916
Argentina,2016-07-25,26815
Argentina,2016-08-01,26852
Argentina,2016-08-08,27527
Argentina,2016-08-15,26151
Argentina,2016-08-22,0
Argentina,2016-08-29,24240
Argentina,2016-09-05,23989
Argentina,2016-09-12,0
Argentina,2016-09-19,26230
Argentina,2016-09-26,22735
Argentina,2016-10-03,22353
Argentina,2016-10-10,21918
Argentina,2016-10-17,0
Argentina,2016-10-24,18095
Argentina,2016-10-31,0
Argentina,2016-11-07,16371
Argentina,2016-11-14,17555
Argentina,2016-11-21,19820
Argentina,2016-11-28,16476
Argentina,2016-12-05,0
Argentina,2016-12-12,14234
Armenia,2009-07-13,1293
Armenia,2009-07-20,0
Armenia,2009-07-27,1282
Armenia,2009-08-03,1484
Armenia,2009-08-10,1113
Armenia,2009-08-17,1338
Armenia,2009-08-24,1232
Armenia,2009-08-31,1600
Armenia,2009-09-07,1585
Armenia,2009-09-14,1795
Armenia,2009-09-21,0
Armenia,2009-09-28,2296
Armenia,2009-10-05,2696
Armenia,2009-10-12,2712
Armenia,2009-10-19,2914
Armenia,2009-10-26,4127
Armenia,2009-11-02,6989
Armenia,2009-11-09,8700
Armenia,2009-11-16,11615
Armenia,2009-11-23,14579
Armenia,2009-11-30,15173
Armenia,2009-12-07,9439
Armenia,2009-12-14,0
Armenia,2009-12-21,1741
Armenia,2009-12-28,0
Armenia,2010-01-04,514
Armenia,2010-01-11,0
Armenia,2010-01-18,2414
Armenia,2010-01-25,0
Armenia,2010-02-01,0
Armenia,2010-02-08,0
Armenia,2010-02-15,2506
Armenia,2010-02-22,2463
Armenia,2010-03-01,0
Armenia,2010-03-08,0
Armenia,2010-03-15,2679
Armenia,2010-03-22,2632
Armenia,2010-03-29,0
Armenia,2010-04-05,0
Armenia,2010-04-12,0
Armenia,2010-04-19,2597
Armenia,2010-04-26,0
Armenia,2010-05-03,2476
Armenia,2010-05-10,2252
Armenia,2010-05-17,0
Armenia,2010-05-24,0
Armenia,2010-05-31,1421
Armenia,2010-06-07,0
Armenia,2010-06-14,1350
